Problem,Agent's Answer,Correct?,Correct Answer
Basic Problem B-01,2,Correct,2
Basic Problem B-02,5,Correct,5
Basic Problem B-03,1,Correct,1
Basic Problem B-04,3,Correct,3
Basic Problem B-05,4,Correct,4
Challenge Problem B-01,-1,Skipped,6
Challenge Problem B-02,-1,Skipped,1
Challenge Problem B-03,-1,Skipped,3
Challenge Problem B-04,-1,Skipped,4
Challenge Problem B-05,-1,Skipped,6
Challenge Problem B-06,-1,Skipped,3
Challenge Problem B-07,-1,Skipped,6
Challenge Problem B-08,-1,Skipped,4
Challenge Problem B-09,-1,Skipped,4
Challenge Problem B-10,-1,Skipped,4
Challenge Problem B-11,-1,Skipped,5
Challenge Problem B-12,-1,Skipped,1
